session_id,datetime,pps_count
"15285913565925205df04-f90c-c0ea-d405-66c47084430e","2018-06-10 00:42:38.000",7
"1528591364790c11747c8-3c25-b413-99df-2193fc1b2131","2018-06-10 00:42:45.000",7
"152859139595220dd6987-7d75-d2d3-8b91-a48c54f8a039","2018-06-10 00:43:16.000",32
"1528591399254686e6dc3-acc2-807d-dc86-ed9f27dd1a68","2018-06-10 00:43:20.000",2
"15285914729422e22c0d3-4204-f90a-6611-1009d555ac44","2018-06-10 00:44:33.000",1
"15285914749147b419ec6-e187-5afe-6546-511d29f2c416","2018-06-10 00:44:36.000",1
"15285914778316d3fff4e-f8fb-a427-cb51-c5286bd80bed","2018-06-10 00:44:39.000",2
"15285914992817f89be69-14ce-a4a4-dc33-2c7125037a55","2018-06-10 00:45:00.000",1
"15285914837973f833b74-ea5e-7e33-3494-e31e14bd46f3","2018-06-10 00:45:29.000",31
"1528591558702575dfb94-7fd8-0352-61f5-e63e3ad8eeed","2018-06-10 00:45:59.000",1
"152859155964913168417-d49a-fbdc-15d5-eac622f043a9","2018-06-10 00:46:00.000",40
"15285915685558ddb47e9-5926-4ae0-0c3d-c74177895f13","2018-06-10 00:46:09.000",1
"15285915802412849bb64-15d6-f6dd-1cef-6f096d8badb5","2018-06-10 00:46:20.000",15
"1528591482259a9ffc4bb-ff1c-476c-2253-255040b98415","2018-06-10 00:46:41.000",1
"1528591608817a25657b3-89fd-886a-9cf7-928589e6103c","2018-06-10 00:46:51.000",1
"1528591611547fe5b3d37-d35c-4b10-3816-0d06039e8c5d","2018-06-10 00:46:51.000",47
"1528591618072fd58fdee-2473-0605-add0-15102069d3fc","2018-06-10 00:46:58.000",1
"1528591623347125e701d-f50a-f572-1c21-a7f4d54292ee","2018-06-10 00:47:05.000",1
"15285916357396662644d-a182-b70d-7b7d-c8764ee79d51","2018-06-10 00:47:15.000",1
"1528591662583094353c5-41a2-b237-5315-dfe8feed5948","2018-06-10 00:47:43.000",1
"1528591681602377a832a-ad88-49cf-f676-68e24f6d734e","2018-06-10 00:48:01.000",31
"1528591685717f053ca7a-2783-0976-1d11-efff08c971d9","2018-06-10 00:48:06.000",52
"1528591693047bf68523e-b503-ac20-ab69-1292ac35ca9e","2018-06-10 00:48:14.000",7
"1528591706700f52d3444-237d-9cfc-b82d-277813037e73","2018-06-10 00:48:27.000",37
"15285917079802abb5b09-d1eb-f0d8-b3ca-6ba7bf1aace4","2018-06-10 00:48:27.000",4
"152859171731381f89231-9076-8fb6-d428-1e54c7ddfbb4","2018-06-10 00:48:39.000",1
"1528591726755789a6056-922a-25b3-adf8-49c5d11287ad","2018-06-10 00:48:47.000",1
"1528591733103f711fb35-fd25-cb22-ca36-1f2ac967f870","2018-06-10 00:48:53.000",1
"15285917431176fe46b76-2c2d-d5fe-692e-aebcb563741b","2018-06-10 00:49:04.000",48
"1528591745634a27c2234-56a5-ea1d-3f16-489f4b87c2e9","2018-06-10 00:49:07.000",1
"1528591747077b329ac81-0b10-b1b2-7b37-094019e2f349","2018-06-10 00:49:08.000",1
"1528591758803cc99cdbe-5602-d7ea-ecdd-389ecb55717e","2018-06-10 00:49:18.000",8
"1528591762149e6cf35d9-9c51-3c37-285f-3a0e085ce52d","2018-06-10 00:49:22.000",47
"15285917675035b64a88e-6f39-3c18-d24a-a3e0b72f3fab","2018-06-10 00:49:28.000",12
"1528591769683337ab10e-97ad-bee7-fb77-a3988c2500ad","2018-06-10 00:49:30.000",1
"15285917729608b5032a1-ac48-0299-2098-b79e6bd7b4da","2018-06-10 00:49:34.000",4
"1528591766273a79db45f-a178-812b-0740-fec98a628383","2018-06-10 00:49:37.000",1
"1528591793952fe0f5e84-cafd-e175-40e0-fa6d32e96161","2018-06-10 00:49:55.000",34
,"2018-06-10 00:50:12.000",10
"152859182920613487b27-482f-7c14-ee98-e73e44803d95","2018-06-10 00:50:30.000",3
"1528591830659261892fb-ceaa-20f7-867f-f0ce12f3e841","2018-06-10 00:50:31.000",1
"152859183176421fa5d59-1536-0d13-c9da-a11356d3986c","2018-06-10 00:50:33.000",53
"1528591832325e1fda04e-97f6-5457-859b-150d76b50fff","2018-06-10 00:50:33.000",49
"1528591838913a770db04-78f4-370e-0594-d9b3c45d746d","2018-06-10 00:50:40.000",3
"15285918654686370fb6d-ae4b-a8a3-f567-97c883bb111f","2018-06-10 00:51:06.000",1
"15285918545924683e0f5-b2bb-0084-e50d-af55079f42f8","2018-06-10 00:51:14.000",1
"152859188161727b86321-5508-9304-814b-1f92a71421f7","2018-06-10 00:51:23.000",92
"152859189324460d58d53-3488-80be-52b9-77352b9ce483","2018-06-10 00:51:33.000",1
"152859190881767c52a8d-4283-9716-238f-fafd32b54f3b","2018-06-10 00:51:50.000",26
"15285919302011475c586-f7e3-6be4-8d4a-ca01793fc48c","2018-06-10 00:52:14.000",3
"1528591970205baeccd72-0a98-280e-fa1d-0c9a4931225e","2018-06-10 00:52:50.000",47
"1528591979081ef86d82b-486e-7967-ffec-d11fb0f2ca69","2018-06-10 00:52:59.000",1
"15285919867584de41c81-a96a-059c-ed0b-c5129c132cc8","2018-06-10 00:53:07.000",13
"15285919889861598f10b-da4d-92df-7c73-09052262f281","2018-06-10 00:53:09.000",45
"152859199735139a8c2ff-d08b-b81c-a5e0-9ec56e09b216","2018-06-10 00:53:17.000",10
"1528592010229e1780264-4b09-100b-cc6a-0b412ec9e13c","2018-06-10 00:53:30.000",1
"1528592015019d99085eb-c51d-7bbd-48a2-3f944d503cba","2018-06-10 00:53:34.000",26
"1528592023276c3611d40-928d-079a-006e-a64503caf05e","2018-06-10 00:53:43.000",1
"1528592054348a4a2c5d7-f4d0-dd91-bd5a-9550e2fbefce","2018-06-10 00:54:15.000",1
"1528592073291f0b59a36-2fab-b385-79a5-b0a9336e7933","2018-06-10 00:54:34.000",1
"152859209736759f97b35-22b0-bd2b-9f79-15e39cf7c29d","2018-06-10 00:54:58.000",1
"1528592100089e351a097-0f51-50c1-4e97-55db54d2a88f","2018-06-10 00:55:01.000",1
"1528592107113d616997b-1e7c-d8d4-9aaf-de1e04e0d5c4","2018-06-10 00:55:08.000",1
"1528592123703b30a0526-821a-58aa-f893-ffc6d1028eed","2018-06-10 00:55:26.000",18
"1528592128015c28b95dc-f30b-b455-1203-c8f6d08433b1","2018-06-10 00:55:29.000",15
"15285921280793daf6f3b-2d4e-660c-7fe8-b350af9e165f","2018-06-10 00:55:30.000",9
"15285921318363e3d35bb-7b27-ef37-a98f-3d9535ba9eee","2018-06-10 00:55:32.000",40
"1528592122248483bf15d-3691-ea00-b913-800e1e0e934c","2018-06-10 00:55:36.000",10
"1528592134560452075f3-0dac-0402-9ea1-6bff36ffd4ca","2018-06-10 00:55:36.000",1
"15285921389230b9c1e11-de9f-e490-29e8-094b7834f573","2018-06-10 00:55:39.000",2
"152859213902029b4545a-e505-849b-f2c2-3b9a6405aa42","2018-06-10 00:55:46.000",1
"15285921469145512c53b-9b63-c68f-099f-f97e22cbab0c","2018-06-10 00:55:47.000",16
"1528592151637966cd320-c335-730e-f216-70b05b8024be","2018-06-10 00:55:52.000",30
